"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17403","Should have widgets (like “Time at Work”, “My Actions”, “Quick Launch”)","OrangeHRM - Dashboard tests","Sun Oct 19 02:49:53 BDT 2025","passed","Sun Oct 19 02:50:10 BDT 2025","","","",""
"","14596","Verify user profile dropdown (top-right) contains expected options.","OrangeHRM - Dashboard tests","Sun Oct 19 02:50:10 BDT 2025","passed","Sun Oct 19 02:50:25 BDT 2025","","","",""
"","23739","Verifing the table loads with users","OrangeHRM - Admin Module tests","Sun Oct 19 03:15:53 BDT 2025","passed","Sun Oct 19 03:16:17 BDT 2025","","","",""
"","18772","Invalid credentials Error","OrangeHRM - Login tests","Sun Oct 19 02:48:16 BDT 2025","passed","Sun Oct 19 02:48:35 BDT 2025","","","",""
"","18347","Should login with valid credentials and reach Dashboard","OrangeHRM - Login tests","Sun Oct 19 02:47:35 BDT 2025","passed","Sun Oct 19 02:47:53 BDT 2025","","","",""
"","43723","Add and verify new user","OrangeHRM - Admin Module tests","Sun Oct 19 03:16:17 BDT 2025","passed","Sun Oct 19 03:17:01 BDT 2025","","","",""
"","22432","Should logout and back to login page","OrangeHRM - Login tests","Sun Oct 19 02:47:54 BDT 2025","passed","Sun Oct 19 02:48:16 BDT 2025","","","",""
"","14600","Empty credentials Error","OrangeHRM - Login tests","Sun Oct 19 02:48:35 BDT 2025","passed","Sun Oct 19 02:48:50 BDT 2025","","","",""
